"stand_id";"species";"count";"height_from";"height_to";"age"
"3 2 0 BF99 55 30 34 33 33";"Aspen";900.22;2.37;2.57;20
"3 2 0 BF99 55 30 34 33 33";"Aspen";900.22;1.21;1.41;20
"3 2 0 BF99 55 30 34 33 33";"Aspen";900.22;1.84;2.04;20
"3 2 0 BF99 55 30 34 33 33";"Aspen";900.22;0.51;0.71;20
"3 2 0 BF99 55 30 34 33 33";"Aspen";900.22;1.55;1.75;20
"3 2 0 BF99 55 30 34 33 33";"Aspen";900.22;0.61;0.81;20
"3 2 0 BF99 55 30 34 33 33";"Aspen";900.22;1.14;1.34;20
"3 2 0 BF99 55 30 34 33 33";"Aspen";900.22;1.68;1.88;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;0.04;0.24;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;2.69;2.89;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;2.71;2.91;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;0.4;0.6;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;1.64;1.84;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;3.04;3.24;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;1.2;1.4;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;3.45;3.65;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;1.64;1.84;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;1.05;1.25;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;0.47;0.67;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;0.21;0.41;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;0.81;1.01;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;1.16;1.36;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;0.75;0.95;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;0.41;0.61;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;0.49;0.69;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;2.85;3.05;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;2.07;2.27;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;2.78;2.98;20
"4 3 0 BF99 55 30 34 33 33";"Aspen";921.51;2.2;2.4;20
