"stand_id";"species";"count";"height_from";"height_to";"age"
6;"Potr";667.12;0.24;0.44;20
6;"Potr";667.12;0.97;1.17;20
6;"Potr";667.12;1.64;1.84;20
6;"Potr";667.12;2.95;3.15;20
6;"Potr";667.12;1.29;1.49;20
6;"Potr";667.12;0.22;0.42;20
6;"Potr";667.12;2.15;2.35;20
6;"Potr";667.12;0.76;0.96;20
6;"Potr";667.12;0.23;0.43;20
6;"Potr";667.12;0.29;0.49;20
6;"Potr";667.12;3.24;3.44;20
6;"Potr";667.12;1.37;1.57;20
6;"Potr";667.12;2.55;2.75;20
6;"Potr";667.12;1.97;2.17;20
6;"Potr";667.12;0.43;0.63;20
6;"Potr";667.12;0.91;1.11;20
6;"Potr";667.12;1.07;1.27;20
6;"Potr";667.12;1.27;1.47;20
6;"Potr";667.12;1.76;1.96;20
6;"Potr";667.12;1.34;1.54;20
7;"Potr";1255.01;1.91;2.11;20
7;"Potr";1255.01;2.02;2.22;20
7;"Potr";1255.01;1.8;2;20
7;"Potr";1255.01;0.42;0.62;20
7;"Potr";1255.01;2.61;2.81;20
7;"Potr";1255.01;3.49;3.69;20
7;"Potr";1255.01;0.98;1.18;20
7;"Potr";1255.01;1.59;1.79;20
7;"Potr";1255.01;0.45;0.65;20
7;"Potr";1255.01;2.75;2.95;20
7;"Potr";1255.01;1.98;2.18;20
7;"Potr";1255.01;1.03;1.23;20
7;"Potr";1255.01;1.63;1.83;20
7;"Potr";1255.01;1.02;1.22;20
7;"Potr";1255.01;1.33;1.53;20
7;"Potr";1255.01;3.13;3.33;20
7;"Potr";1255.01;0.59;0.79;20
7;"Potr";1255.01;0.47;0.67;20
7;"Potr";1255.01;1.28;1.48;20
7;"Potr";1255.01;0.41;0.61;20
7;"Potr";1255.01;0.47;0.67;20
7;"Potr";1255.01;3.84;4.04;20
7;"Potr";1255.01;3.18;3.38;20
7;"Potr";1255.01;2.72;2.92;20
7;"Potr";1255.01;0.99;1.19;20
8;"Potr";1206.11;1.15;1.35;20
8;"Potr";1206.11;1.23;1.43;20
8;"Potr";1206.11;0.94;1.14;20
8;"Potr";1206.11;1.25;1.45;20
8;"Potr";1206.11;1.63;1.83;20
8;"Potr";1206.11;0.95;1.15;20
8;"Potr";1206.11;1.93;2.13;20
8;"Potr";1206.11;0.38;0.58;20
8;"Potr";1206.11;0.72;0.92;20
8;"Potr";1206.11;0.94;1.14;20
8;"Potr";1206.11;0.2;0.4;20
8;"Potr";1206.11;0.31;0.51;20
8;"Potr";1206.11;1.49;1.69;20
8;"Potr";1206.11;2.81;3.01;20
8;"Potr";1206.11;0.63;0.83;20
8;"Potr";1206.11;0.73;0.93;20
8;"Potr";1206.11;2.24;2.44;20
8;"Potr";1206.11;0.36;0.56;20
8;"Potr";1206.11;3.22;3.42;20
8;"Potr";1206.11;0.48;0.68;20
8;"Potr";1206.11;2.87;3.07;20
8;"Potr";1206.11;3.15;3.35;20
8;"Potr";1206.11;2.49;2.69;20
8;"Potr";1206.11;0.5;0.7;20
8;"Potr";1206.11;0.82;1.02;20
9;"Potr";1892.06;1.43;1.63;20
9;"Potr";1892.06;0.82;1.02;20
9;"Potr";1892.06;2.33;2.53;20
9;"Potr";1892.06;3.81;4.01;20
9;"Potr";1892.06;1.66;1.86;20
9;"Potr";1892.06;0.63;0.83;20
9;"Potr";1892.06;0.3;0.5;20
9;"Potr";1892.06;2.44;2.64;20
9;"Potr";1892.06;1.14;1.34;20
9;"Potr";1892.06;2.58;2.78;20
9;"Potr";1892.06;0.36;0.56;20
9;"Potr";1892.06;0.15;0.35;20
9;"Potr";1892.06;1.85;2.05;20
9;"Potr";1892.06;1.4;1.6;20
9;"Potr";1892.06;2.03;2.23;20
9;"Potr";1892.06;0.73;0.93;20
9;"Potr";1892.06;0.73;0.93;20
9;"Potr";1892.06;2.86;3.06;20
9;"Potr";1892.06;0.81;1.01;20
9;"Potr";1892.06;1.91;2.11;20
9;"Potr";1892.06;1.9;2.1;20
9;"Potr";1892.06;3.25;3.45;20
9;"Potr";1892.06;1.27;1.47;20
9;"Potr";1892.06;3.11;3.31;20
9;"Potr";1892.06;1.81;2.01;20
10;"Potr";2633.08;2.15;2.35;20
10;"Potr";2633.08;0.44;0.64;20
10;"Potr";2633.08;1.01;1.21;20
10;"Potr";2633.08;0.28;0.48;20
10;"Potr";2633.08;0.31;0.51;20
10;"Potr";2633.08;1.22;1.42;20
10;"Potr";2633.08;2.46;2.66;20
10;"Potr";2633.08;0.82;1.02;20
10;"Potr";2633.08;1.03;1.23;20
10;"Potr";2633.08;1.93;2.13;20
10;"Potr";2633.08;0.1;0.3;20
10;"Potr";2633.08;2.74;2.94;20
10;"Potr";2633.08;3.02;3.22;20
10;"Potr";2633.08;2.36;2.56;20
10;"Potr";2633.08;3.82;4.02;20
10;"Potr";2633.08;1.74;1.94;20
10;"Potr";2633.08;0.73;0.93;20
10;"Potr";2633.08;0.28;0.48;20
10;"Potr";2633.08;1.37;1.57;20
10;"Potr";2633.08;0.69;0.89;20
10;"Potr";2633.08;0.98;1.18;20
10;"Potr";2633.08;0.75;0.95;20
10;"Potr";2633.08;3.67;3.87;20
10;"Potr";2633.08;1.74;1.94;20
10;"Potr";2633.08;2;2.2;20
11;"Potr";629.46;2.76;2.96;20
11;"Potr";629.46;0.38;0.58;20
11;"Potr";629.46;3.05;3.25;20
11;"Potr";629.46;3.69;3.89;20
11;"Potr";629.46;1.84;2.04;20
11;"Potr";629.46;3.76;3.96;20
11;"Potr";629.46;3.9;4.1;20
11;"Potr";629.46;1.51;1.71;20
11;"Potr";629.46;0.92;1.12;20
11;"Potr";629.46;2.06;2.26;20
